Id,Label,u,v,w,u+w,Deficient,Central,Dexterity,ReflD,ReflC,ReflX,ReflType
120,#4347,BB3,GGG:LGO:LLO|WWO:RBO:RLY|WBY:BBY:RRY,106,BB3j,B,B,3,B,B,4,BB4
121,#4348,WW2,GGG:LGO:LLO|RWO:WWO:BLY|RRY:BRY:BBY,102,WW2f,W,W,2,W,W,4,WW4
122,#4349,WR2,GGG:LGO:LLO|RWO:RRO:BLY|RWY:BWY:BBY,99,WR2c,W,R,2,W,L,5,WL5
123,#4350,RR3,GGG:LGO:LLO|WWO:RRO:BLY|WRY:BRY:BBY,106,RR3j,R,R,3,L,L,4,LL4
124,#4361,LL4,GGG:LGO:WWY|RLO:LLO:BWY|RRO:BRY:BBY,97,LL4a,L,L,4,R,R,3,RR3
125,#4362,LL2,GGG:LGO:WWO|RLO:LLO:BWY|RRY:BRY:BBY,97,LL2a,L,L,2,R,R,5,RR5
126,#4363,LL0,GGG:LGW:OOW|RLY:LLW:BOO|RRY:BRY:BBY,101,LL0e,L,L,0,R,R,7,RR7
127,#4364,LL4,GGG:LGO:YYY|BLO:LLO:YRR|BBO:BWR:WWR,103,LL4g,L,L,4,R,R,3,RR3
128,#4365,LL4,GGG:LGW:YOW|BLR:LLW:YOO|BBR:BRR:YYO,107,LL4k,L,L,4,R,R,3,RR3
129,#4366,LL2,GGG:LGW:OOW|BLR:LLW:YOO|BBR:BRR:YYY,103,LL2g,L,L,2,R,R,5,RR5
130,#4367,LL1,GGG:LGO:YWW|BLR:LLO:YWO|BBR:BRR:YYO,97,LL1a,L,L,1,R,R,6,RR6
131,#4368,LL1,GGG:LGO:YYY|BLR:LLO:YWO|BBR:BRR:WWO,98,LL1b,L,L,1,R,R,6,RR6
132,#4369,OO0,GGG:BGW:BBW|OLR:OOW:BOY|LLR:LRR:YYY,102,OO0f,O,O,0,O,O,3,OO3
133,#4370,RL2,GGG:BGW:BBW|ROO:RLW:BLY|OOY:RRY:LLY,99,RL2c,R,L,2,L,R,5,LR5
134,#4371,LL2,GGG:BGW:BBW|LOO:LLW:BRY|OOY:RLY:RRY,99,LL2c,L,L,2,R,R,5,RR5
