Source,Target,length,Weight,a,b):
135,238,2,2,0,OB
135,214,3,3,0,WOL
135,139,3,3,0,YOR
135,136,3,3,4,WOB
135,136,3,3,0,YLR
136,239,2,2,0,OB
136,238,3,3,4,WOB
137,204,2,2,0,WR
137,186,3,3,80,GLR
137,186,3,3,0,WYO
137,138,3,3,0,YLR
138,206,3,3,0,WYR
138,203,2,2,0,WR
138,201,3,3,0,WOR
140,179,3,3,70,WGL
141,218,3,3,0,WLR
141,208,2,2,0,WR
142,209,3,3,80,YGO
142,209,3,3,0,WLR
142,185,3,3,0,WOR
142,184,2,2,0,WO
143,192,3,3,0,WLR
143,147,3,3,0,WYR
143,144,2,2,0,LR
144,192,2,2,0,WR
144,160,3,3,80,WGL
144,146,3,3,0,YOL
144,145,3,3,0,YOL
145,222,2,2,0,WL
145,198,3,3,0,WOR
145,196,2,2,0,WR
145,188,3,3,0,WYO
145,175,3,3,80,WGL
145,154,3,3,0,WYO
145,146,2,2,0,YO
146,217,2,2,0,WL
146,197,2,2,0,WR
146,188,3,3,0,WYO
146,154,2,2,0,WY
146,152,3,3,80,WGL
147,217,3,3,80,WGR
147,170,2,2,0,YO
147,153,2,2,0,WO
147,152,3,3,0,WLR
147,151,3,3,0,WLR
147,150,3,3,0,WLR
147,149,2,2,0,WL
147,148,2,2,0,WL
148,225,3,3,0,YLB
148,217,3,3,80,WGR
148,171,2,2,0,YO
148,159,3,3,0,WYO
148,153,3,3,0,WOL
148,152,3,3,0,WLR
148,151,2,2,0,LR
148,150,3,3,0,WLR
148,149,2,2,0,WL
149,217,3,3,80,WGR
149,172,2,2,0,YO
149,158,3,3,0,YOL
149,153,3,3,0,WOL
149,152,3,3,0,WLR
149,151,3,3,0,WLR
149,150,3,3,0,WLR
150,197,3,3,80,WGL
150,173,2,2,0,YO
150,152,2,2,0,WR
150,151,2,2,0,WR
151,197,3,3,80,WGL
151,174,2,2,0,YO
151,161,3,3,0,WYO
151,152,2,2,0,WR
152,197,2,2,80,WG
152,192,3,3,0,YLR
152,175,2,2,0,YO
152,160,3,3,0,YOR
153,204,3,3,0,YOR
153,170,3,3,0,WYO
154,217,3,3,0,WYL
154,197,3,3,0,WYR
154,188,3,3,0,WYO
155,219,3,3,0,YLR
155,218,3,3,0,YLR
155,208,3,3,0,YLR
155,166,3,3,51,WGO
155,162,2,2,0,YL
155,156,2,2,0,LR
156,219,3,3,0,YLR
156,218,3,3,0,YLR
156,208,3,3,0,YLR
156,168,3,3,51,WGO
156,162,3,3,0,YLR
156,158,3,3,0,WOR
157,213,3,3,0,YOL
158,217,3,3,4,YLB
158,172,3,3,0,YOL
158,159,3,3,0,WOL
159,216,3,3,4,YLB
159,171,3,3,0,WYO
159,161,2,2,0,LR
160,197,3,3,0,YLR
160,192,2,2,80,WG
160,175,3,3,0,YOR
160,161,3,3,0,WOR
161,174,3,3,0,WYO
162,219,3,3,0,YLR
162,218,3,3,0,YLR
162,208,3,3,0,YLR
162,167,3,3,51,WGO
163,218,3,3,70,WGO
163,200,3,3,0,YOR
163,180,3,3,0,WYR
163,176,3,3,0,WYR
163,168,3,3,0,YLR
163,167,3,3,0,YLR
163,166,3,3,0,YLR
163,165,2,2,0,YR
163,164,2,2,0,LR
164,208,3,3,70,WGO
164,201,3,3,0,YOR
164,168,3,3,0,YLR
164,167,3,3,0,YLR
164,166,3,3,0,YLR
164,165,3,3,0,YLR
165,219,3,3,70,WGO
165,200,3,3,0,YOR
165,185,3,3,0,WLR
165,184,3,3,0,WLR
165,180,2,2,0,WR
165,176,3,3,0,WYR
165,168,3,3,0,YLR
165,167,3,3,0,YLR
165,166,3,3,0,YLR
166,181,3,3,0,WLR
166,177,2,2,0,WR
166,171,3,3,0,WYR
166,169,3,3,0,WYL
166,168,2,2,0,LR
166,167,2,2,0,YL
167,183,3,3,0,WLR
167,178,2,2,0,WR
167,169,3,3,0,WYL
167,168,3,3,0,YLR
168,181,2,2,0,WL
168,177,3,3,0,WLR
168,173,3,3,0,WYL
169,236,2,2,0,WB
169,235,3,3,4,WOB
169,231,3,3,50,WGB
170,222,3,3,80,WGR
170,184,3,3,0,WYL
170,180,3,3,22,WGO
170,180,3,3,0,YLR
170,175,3,3,0,WLR
170,174,3,3,0,WLR
170,173,3,3,0,WLR
170,172,2,2,0,WL
170,171,2,2,0,WL
171,222,3,3,80,WGR
171,184,3,3,0,WYL
171,177,3,3,0,WYR
171,175,3,3,0,WLR
171,174,2,2,0,LR
171,173,3,3,0,WLR
171,172,2,2,0,WL
172,222,3,3,80,WGR
172,184,3,3,0,WYL
172,175,3,3,0,WLR
172,174,3,3,0,WLR
172,173,3,3,0,WLR
